Justin Bieber,2,,2,5,6,1,4,2,3,,5,,3,2,3,3,4,4,2,2,,1,,3,0,5,3,6,0,,2,5
Taylor Swift,4,,7,6,6,3,4,4,1,,5,,4,6,3,5,7,6,6,6,,7,,3,7,4,2,7,3,,4,7
The Weeknd,5,,6,7,6,6,5,8,4,,6,,3,4,1,8,8,9,4,4,,9,,1,9,10,6,6,6,,6,8
Dua Lipa,5,,4,6,5,7,5,5,6,,10,,5,5,7,1,6,5,7,5,,8,,7,6,10,5,7,2,,5,7
Bruno Mars,5,,7,6,7,9,6,3,6,,7,,5,7,6,3,7,10,6,8,,8,,6,10,6,5,9,7,,3,9
Drake,0,,1,7,6,2,4,3,7,,7,,2,5,0,7,5,8,4,0,,0,,0,7,10,0,7,8,,5,6
Ariana Grande,5,,7,7,7,1,9,3,8,,5,,3,6,7,7,6,5,7,6,,6,,7,10,7,1,9,1,,3,6
Ed Sheeran,0,,0,2,2,0,5,2,8,,5,,2,6,1,5,2,4,5,3,,3,,1,0,5,2,7,0,,1,7
Maroon 5,4,,0,1,0,0,3,2,7,,6,,4,6,5,7,1,4,6,4,,0,,5,6,6,6,4,5,,0,8
Billie Eilish,4,,3,3,9,3,7,5,7,,0,,6,5,7,9,9,7,8,3,,7,,7,9,5,5,8,7,,5,9
The Beatles,4,,8,5,,6,7,8,,,6,5,6,8,10,6,8,9,6,0,,9,10,10,,10,5,9,10,10,5,10
Bruce Springsteen,5,,6,6,,7,5,6,,,5,5,8,5,,4,7,7,,5,,7,10,,,5,6,8,7,7,5,7
Bob Dylan,6,,8,7,,7,4,7,,,4,5,7,6,,7,6,8,,5,,10,10,,,6,5,8,8,8,5,10
Led Zeppelin,6,,7,3,,9,6,6,,,7,6,10,9,,8,,6,,5,,8,10,,,5,8,9,7,10,5,7
Pink Floyd,6,,10,10,,10,10,5,,,6,10,10,8,,9,,7,,7,,9,10,,,5,7,10,8,10,6,10
Queen,7,,7,9,,10,8,8,,,9,8,10,9,10,10,9,8,7,10,,8,10,10,,10,9,9,7,6,6,10
Fleetwood Mac,5,,9,9,,7,7,6,,,4,6,10,5,8,9,8,6,7,5,,7,10,8,,10,4,7,8,7,5,10
Simon & Garfunkel,5,,10,8,,7,6,6,,,4,6,6,5,7,9,,7,,5,,9,10,7,,10,7,8,5,9,6,9
David Bowie,8,,9,9,,8,7,9,,,7,7,5,6,8,10,8,7,,8,,9,10,8,,6,5,9,7,8,5,10
The Beach Boys,5,,8,10,,7,6,4,,,6,6,4,6,6,6,6,7,5,7,,9,10,6,,10,7,9,10,8,5,8
Eminem,0,4,3,2,8,6,4,3,4,,9,9,4,5,3,5,2,7,6,,0,6,,3,7,10,8,7,9,5,1,9
Kanye West,10,10,10,10,10,6,9,4,9,,9,5,2,5,3,5,8,10,7,,7,10,,3,9,10,2,8,5,10,10,10
